Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63e42dcf9bd807b523156180,614f3ad3e0837475bb79d175,AWAITING REVIEW,2023-02-08T23:18:48.086000Z,2023-02-08T23:54:32.538000Z,,2023-02-08T23:54:32.955517Z,2145,C6S70LIF,907,English,39,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
63e42ed0a30cb9e9c3ba3771,5c6f2ab29d7a310001470418,AWAITING REVIEW,2023-02-08T23:26:48.034000Z,2023-02-08T23:56:09.652000Z,,2023-02-08T23:56:09.962394Z,1762,NOCODE,710,"Spanish, English",57,Female,White,United States,United States,United States,English,No,Part-Time
63e439d27f63db1f3d8dd450,633fce40238b274171326345,AWAITING REVIEW,2023-02-09T00:09:58.605000Z,2023-02-09T00:42:09.878000Z,,2023-02-09T00:42:10.671997Z,1932,C6S70LIF,489,"English, Russian",28,Male,Mixed,United States,United States,United States,English,Yes,Due to start a new job within the next month
